,0
0,0.00010593616
1,2.999627e-05
2,0.00027962815
3,2.8129862e-05
4,0.00015722567
5,2.3837354e-05
6,0.00012904797
7,2.799124e-05
8,0.0006089032
9,0.056089446
10,0.0007543212
11,0.0070285406
12,0.016767684
13,0.0061491327
14,0.014612023
15,0.06581037
16,0.083958514
17,3.5476656e-05
18,0.0042597232
19,0.030598305
20,0.07750264
21,0.000496045
22,0.0013181592
23,0.2471147
24,0.03576873
25,0.0062935655
26,6.230856e-05
27,0.00041679016
28,0.13123268
29,0.18477993
30,0.026939834
31,0.00062036084
32,0.0035187413
33,0.0017463767
34,0.0001111571
35,3.113112e-05
36,5.1943793e-05
37,3.7726644e-05
38,0.0009472365
39,0.002129215
40,0.0002547784
41,0.0001480177
42,0.005745128
43,0.007627465
44,0.10428843
45,0.049431633
46,0.11191557
47,0.31225228
48,0.08287956
49,0.17511567
50,0.014324588
51,0.00430474
52,0.00044479276
53,0.0030100702
54,0.0025383604
55,0.009179883
56,0.013653256
57,0.004585491
58,0.0029275648
59,0.0014545813
60,0.002087397
61,0.0019890198
62,0.0026649376
63,0.07860326
