,0
0,0.9580628
1,0.9997572
2,0.9951664
3,0.9997572
4,0.9951664
5,0.9997572
6,0.9951664
7,0.9997572
8,0.9951664
9,0.88532746
10,0.863983
11,0.99973553
12,0.9439798
13,0.9997716
14,0.9995839
15,0.98829174
16,0.99902755
17,0.99913037
18,0.9940712
19,0.99913037
20,0.9940712
21,0.99913037
22,0.9940712
23,0.99913037
24,0.9940712
25,0.99960685
26,0.88217556
27,0.99960685
28,0.88217556
29,0.99960685
30,0.88217556
31,0.99960685
32,0.88217556
33,0.9997328
34,0.895396
35,0.9974268
36,0.99953413
37,0.99526346
38,0.9961846
39,0.99929523
40,0.9997731
